source_id,source_type,\bsurveillance\b,\bdynamic(?:ally)?\b,\balgorithm(?:ic|ically)?s?\b,\b(?:AI|artificial intelligence|machine learning)\b,\bpersonali[sz](?:e|es|ed|ing|ation)?\b,\bindividuali[sz](?:e|es|ed|ing|ation)?\b,\bcustomi[sz](?:e|es|ed|ing|ation)?\b,\btarget(?:s|ed|ing)?\b,\bdiscriminat(?:e|es|ed|ing|ion|ory)?\b,\bdifferentiat(?:e|es|ed|ing|ion)?\b,\bdemand\b,\bsurge\b,\breal[-\s]?time\b,\bcontinuous(?:ly)?\b,\bdata[-\s]?driven\b,\bprice optimi[sz](?:e|es|ed|ing|ation)?\b,\bpredatory\b,\bgoug(?:e|es|ed|ing)\b
do-airlines-charge-solo-travelers-more-some-deal-experts-says-yes-the-washington-post,third party,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
exclusive-us-airlines-are-quietly-hitting-solo-biz-travelers-with-higher-fares,third party,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
navan-enhances-direct-connection-with-united-airlines-as-tmc-introduces-nextgen-,third party with company statement,0,2,0,2,4,0,1,0,0,0,0,0,1,1,0,0,0,0
sabre-testing-live-ndc-offers-with-united-airlines-and-beyond-ndc-agency-partners,third party with company statement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
score-bonus-miles-register-now-for-uniteds-latest-mile-play-promotion-the-points,third party,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
united-launches-airline-industrys-first-media-network-jun-7-2024,company,0,0,0,0,7,0,0,1,0,0,0,0,3,0,0,0,0,0
