source_id,\bsurveillance\b,\bdynamic(?:ally)?\b,\balgorithm(?:ic|ically)?s?\b,\b(?:AI|artificial intelligence|machine learning)\b,\bpersonali[sz](?:e|es|ed|ing|ation)?\b,\bindividuali[sz](?:e|es|ed|ing|ation)?\b,\bcustomi[sz](?:e|es|ed|ing|ation)?\b,\btarget(?:s|ed|ing)?\b,\bdiscriminat(?:e|es|ed|ing|ion|ory)?\b,\bdifferentiat(?:e|es|ed|ing|ion)?\b,\bdemand\b,\bsurge\b,\breal[-\s]?time\b,\bcontinuous(?:ly)?\b,\bdata[-\s]?driven\b,\boptimi[sz](?:e|es|ed|ing|ation)?\b,\bpredatory\b,\bautomated\b,\bgoug(?:e|es|ed|ing)\b
alaska-airlines-architect-use-case-atpco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alaska-airlines-new-flight-pass-guarantees-cheaper-flights-to-subscribers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alaska-airlines-signs-multi-year-architect-deal-with-atpco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
major-disappointment-heres-why-i-canceled-my-alaska-airlines-subscription-servic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
