source_id,\bsurveillance\b,\bdynamic(?:ally)?\b,\balgorithm(?:ic|ically)?s?\b,\b(?:AI|artificial intelligence|machine learning)\b,\bpersonali[sz](?:e|es|ed|ing|ation)?\b,\bindividuali[sz](?:e|es|ed|ing|ation)?\b,\bcustomi[sz](?:e|es|ed|ing|ation)?\b,\btarget(?:s|ed|ing)?\b,\bdiscriminat(?:e|es|ed|ing|ion|ory)?\b,\bdifferentiat(?:e|es|ed|ing|ion)?\b,\bdemand\b,\bsurge\b,\breal[-\s]?time\b,\bcontinuous(?:ly)?\b,\bdata[-\s]?driven\b,\boptimi[sz](?:e|es|ed|ing|ation)?\b,\bpredatory\b,\bautomated\b,\bgoug(?:e|es|ed|ing)\b
attorney-general-james-demands-answers-from-instacart-about-algorithmic-pricing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exclusive-instacarts-ai-pricing-may-be-inflating-your-grocery-bill-consumer-repo,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
letter-to-instacart-on-pricing-practices-letters-2026,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new-york-ag-requests-information-on-algorithmic-pricing-from-instacart,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
