source_id,source_type,\bsurveillance\b,\bdynamic(?:ally)?\b,\balgorithm(?:ic|ically)?s?\b,\b(?:AI|artificial intelligence|machine learning)\b,\bpersonali[sz](?:e|es|ed|ing|ation)?\b,\bindividuali[sz](?:e|es|ed|ing|ation)?\b,\bcustomi[sz](?:e|es|ed|ing|ation)?\b,\btarget(?:s|ed|ing)?\b,\bdiscriminat(?:e|es|ed|ing|ion|ory)?\b,\bdifferentiat(?:e|es|ed|ing|ion)?\b,\bdemand\b,\bsurge\b,\breal[-\s]?time\b,\bcontinuous(?:ly)?\b,\bdata[-\s]?driven\b,\bprice optimi[sz](?:e|es|ed|ing|ation)?\b,\bpredatory\b,\bgoug(?:e|es|ed|ing)\b
bookingcom-privacy-notice,company,0,0,0,46,14,0,2,3,0,0,1,0,0,2,0,0,0,0
unlocking-the-power-of-customization-booking-com-enrichment-system,company,0,0,0,4,2,0,29,0,0,0,2,0,0,1,0,0,0,0
