source_id,\bsurveillance\b,\bdynamic(?:ally)?\b,\balgorithm(?:ic|ically)?s?\b,\b(?:AI|artificial intelligence|machine learning)\b,\bpersonali[sz](?:e|es|ed|ing|ation)?\b,\bindividuali[sz](?:e|es|ed|ing|ation)?\b,\bcustomi[sz](?:e|es|ed|ing|ation)?\b,\btarget(?:s|ed|ing)?\b,\bdiscriminat(?:e|es|ed|ing|ion|ory)?\b,\bdifferentiat(?:e|es|ed|ing|ion)?\b,\bdemand\b,\bsurge\b,\breal[-\s]?time\b,\bcontinuous(?:ly)?\b,\bdata[-\s]?driven\b,\boptimi[sz](?:e|es|ed|ing|ation)?\b,\bpredatory\b,\bautomated\b,\bgoug(?:e|es|ed|ing)\b
ariane-gorin-lays-out-goals-as-expedia-group-ceo,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is-orbitz-steering-mac-users-toward-pricier-hotels-cnn-business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mac-users-may-see-pricier-options-on-orbitz-abc-news,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orbitz-shows-mac-users-pricier-hotel-options-big-deal-or-no-brainer-kasu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otas-to-hand-over-ai-pricing-policy-details-in-us-house-committee-investigation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us-house-committee-wants-travel-companies-to-disclose-ai-use-for-pricing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
